Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2012/5/16,13.91,6453373,346.542338,290.752703,1
600309,2012/5/17,14.3,7306457,356.258478,298.904648,1
600309,2012/5/18,14.08,8331667,350.777578,294.306115,1
600309,2012/5/21,14.31,6300389,356.507609,299.113672,1
600309,2012/5/22,14.51,8107775,361.490245,303.294157,1
600309,2012/5/23,14.2,8556190,353.767159,296.814406,1
600309,2012/5/24,14.3,6817629,356.258477,298.904648,1
600309,2012/5/25,14.18,5602084,353.268895,296.396357,1
600309,2012/5/28,14.37,10772979,358.002399,300.367817,1
600309,2012/5/29,14.71,22528830,366.47288,307.474641,1
600309,2012/5/30,14.7,8927141,366.223748,307.265617,1
600309,2012/5/31,15.11,23722136,376.438152,315.83561,1
600309,2012/6/1,15.12,9555288,376.687284,316.044634,1
600309,2012/6/4,14.78,10407412,368.216803,308.93781,1
600309,2012/6/5,14.54,9730517,362.23764,303.921229,1
600309,2012/6/6,14.25,11789533,355.012818,297.859526,1
600309,2012/6/7,14.25,9035506,355.012818,297.859526,1
600309,2012/6/8,14.31,10078292,356.507609,299.113671,1
600309,2012/6/11,14.73,8272598,366.971145,307.892689,1
600309,2012/6/12,14.66,6421037,365.227222,306.429519,1
600309,2012/6/13,14.98,14244976,373.19944,313.118294,1
600309,2012/6/14,14.96,9069992,372.701176,312.700246,1
600309,2012/6/15,14.83,9488617,369.462463,309.982931,1
600309,2012/6/18,14.72,7885455,366.722013,307.683664,1
600309,2012/6/19,14.82,14697534,369.213331,309.773906,1
600309,2012/6/20,14.77,6982232,367.967672,308.728785,1
600309,2012/6/21,14.49,9045208,360.991982,302.876107,1
600309,2012/6/25,13.83,11733878,344.549283,289.080508,1
600309,2012/6/26,13.8,8098149,343.801888,288.453435,1
600309,2012/6/27,13.55,10551840,337.573593,283.227829,1
600309,2012/6/28,13.1,13090433,326.362662,273.821739,1
600309,2012/6/29,13.35,7132794,332.590957,279.047345,1
600309,2012/7/2,13.58,6143997,338.320988,283.854902,1
600309,2012/7/3,13.13,11675409,327.110057,274.448812,1
600309,2012/7/4,13.16,7123420,327.857452,275.075885,1
600309,2012/7/5,12.81,13987980,319.137839,267.760037,1
600309,2012/7/6,13.29,9352026,331.096166,277.7932,1
600309,2012/7/9,13,7780336,323.871344,271.731497,1
600309,2012/7/10,12.95,6736484,322.625685,270.686376,1
600309,2012/7/11,13.3,6656097,331.345298,278.002224,1
600309,2012/7/12,13.46,11073646,335.331407,281.346612,1
600309,2012/7/13,13.48,5072672,335.829671,281.76466,1
600309,2012/7/16,13.15,4397396,327.608321,274.86686,1
600309,2012/7/17,13.33,4632151,332.092693,278.629296,1
600309,2012/7/18,13.4,4459825,333.836616,280.092466,1
600309,2012/7/19,13.54,8304177,337.324461,283.018805,1
600309,2012/7/20,13.46,5271263,335.331407,281.346611,1
600309,2012/7/23,13.36,3263286,332.840089,279.256369,1
600309,2012/7/24,13.42,3861206,334.33488,280.510514,1
600309,2012/7/25,13.35,4211624,332.590957,279.047344,1
600309,2012/7/26,12.98,7837998,323.37308,271.313448,1
600309,2012/7/27,12.96,4803053,322.874816,270.8954,1
600309,2012/7/30,13.08,3417931,325.864398,273.403691,1
600309,2012/7/31,13.1,3600322,326.362662,273.821739,1
600309,2012/8/1,13.35,6695756,332.590957,279.047345,1
600309,2012/8/2,13.24,3461545,329.850507,276.748078,1
600309,2012/8/3,13.46,4850254,335.331407,281.346611,1
600309,2012/8/6,13.57,7561326,338.071857,283.645878,1
600309,2012/8/7,13.47,6989498,335.580539,281.555636,1
600309,2012/8/8,13.48,7621390,335.829671,281.76466,1
600309,2012/8/9,13.51,7189440,336.577066,282.391733,1
600309,2012/8/10,13.27,7062084,330.597903,277.375152,1
600309,2012/8/13,13.1,8829870,326.362662,273.82174,1
600309,2012/8/14,12.95,11801039,322.625685,270.686377,1
600309,2012/8/15,12.99,5141115,323.622212,271.522474,1
600309,2012/8/16,12.9,4400076,321.380026,269.641256,1
600309,2012/8/17,12.8,6008247,318.888708,267.551014,1
600309,2012/8/20,12.76,5971937,317.892181,266.714917,1
600309,2012/8/21,13,7330940,323.871344,271.731499,1
600309,2012/8/22,13.01,6500139,324.120476,271.940523,1
600309,2012/8/23,13.07,4956596,325.615267,273.194668,1
600309,2012/8/24,12.86,4150807,320.383499,268.805159,1
600309,2012/8/27,12.67,4507859,315.649995,264.833699,1
600309,2012/8/28,12.64,6775878,314.902599,264.206626,1
600309,2012/8/29,12.5,3050315,311.414754,261.280287,1
600309,2012/8/30,12.62,6038569,314.404336,263.788578,1
600309,2012/8/31,12.56,3547002,312.909545,262.534433,1
600309,2012/9/3,12.74,6469776,317.393917,266.296869,1
600309,2012/9/4,12.61,5488350,314.155204,263.579554,1
600309,2012/9/5,12.75,4141188,317.643049,266.505893,1
600309,2012/9/6,12.86,2290717,320.383499,268.80516,1
600309,2012/9/7,13.36,16326184,332.840089,279.256371,1
600309,2012/9/10,13.36,11407715,332.840089,279.256371,1
600309,2012/9/11,13.22,6898720,329.352244,276.330032,1
600309,2012/9/12,13.18,7609308,328.355717,275.493935,1
600309,2012/9/13,13.11,4239331,326.611794,274.030765,1
600309,2012/9/14,13.24,7455791,329.850507,276.74808,1
600309,2012/9/17,12.86,4784315,320.383499,268.805159,1
600309,2012/9/18,12.64,4494343,314.902599,264.206626,1
600309,2012/9/19,12.75,4914711,317.643049,266.505893,1
600309,2012/9/20,12.79,8620492,318.639576,267.34199,1
600309,2012/9/21,12.97,6750961,323.123948,271.104426,1
600309,2012/9/24,13.25,12646050,330.099638,276.957104,1
600309,2012/9/25,13.11,7375361,326.611793,274.030765,1
600309,2012/9/26,13.05,6273599,325.117002,272.77662,1
600309,2012/9/27,13.93,37935307,347.040601,291.170752,1
600309,2012/9/28,13.84,22078189,344.798415,289.289534,1
600309,2012/10/8,14.25,27032249,355.012819,297.859527,1
600309,2012/10/9,14.33,24286435,357.005873,299.531721,1
600309,2012/10/10,14.34,10892230,357.255005,299.740745,1
600309,2012/10/11,14.22,19660742,354.265423,297.232454,1
600309,2012/10/12,14.32,18058667,356.756741,299.322696,1
600309,2012/10/15,14.11,12221297,351.524973,294.933187,1
600309,2012/10/16,13.79,14346527,343.552755,288.244412,1
600309,2012/10/17,13.93,7599747,347.0406,291.170751,1
600309,2012/10/18,14.32,13405827,356.75674,299.322696,1
600309,2012/10/19,14.14,7645844,352.272368,295.56026,1
600309,2012/10/22,14,17799203,348.784523,292.633921,1
600309,2012/10/23,13.7,12209076,341.310569,286.363194,1
600309,2012/10/24,13.76,5596376,342.80536,287.617339,1
600309,2012/10/25,13.6,6567581,338.819251,284.272951,1
600309,2012/10/26,13.51,9877411,336.577065,282.391733,1
600309,2012/10/29,13.63,5398927,339.566647,284.900024,1
600309,2012/10/30,13.69,5927008,341.061438,286.154169,1
600309,2012/10/31,13.69,3009602,341.061438,286.154169,1
600309,2012/11/1,14.02,10299648,349.282788,293.051969,1
600309,2012/11/2,13.95,4601381,347.538865,291.588799,1
600309,2012/11/5,13.75,11890321,342.556229,287.408314,1
600309,2012/11/6,13.92,9097350,346.79147,290.961726,1
600309,2012/11/7,13.8,4452208,343.801888,288.453435,1
600309,2012/11/8,13.56,4924103,337.822725,283.436854,1
600309,2012/11/9,13.19,10287767,328.604848,275.702958,1
600309,2012/11/12,13.14,6008007,327.359189,274.657837,1
